,City,Country,Lat,Lng,Hotel Name
117,vanimo,,-2.67,141.3,Sandaun Surf Hotel
118,muros,,42.78,-9.06,Hotel La Muradana
119,banting,,2.82,101.5,Suite Dreamz Hotel Banting
120,bredasdorp,,-34.53,20.04,Bredasdorp Country Manor
121,opuwo,,-18.06,13.84,Opuwo Country Lodge
122,pitimbu,,-7.47,-34.81,Pousada Beira Mar Pitimbu Paraíba
123,nemuro,,43.32,145.57,Hotel Nemuro Kaiyoutei
124,dingtao,,35.07,115.56,VX Heze Dingtao District Taoyi Road Hotel
125,yashkul,,46.17,45.34,
126,arkhara,,49.42,130.08,"Gostinitsa ""Arkhara"""
127,tzaneen,,-23.83,30.16,The Bohemian Guest House and Eatery
128,sampit,,-2.53,112.95,Grand Hotel Sampit
129,flinders,,-34.58,150.86,Shellharbour Resort & Conference Centre
130,olafsvik,,64.89,-23.71,Hotel Olafsvik
131,usinsk,,65.99,57.53,"Hotel ""Orbita"""
132,altamira,,-3.2,-52.21,Xingu Praia Hotel
133,pervomayskoye,,43.92,46.71,
134,mantua,,45.17,10.78,Best Western Hotel Cristallo
135,barguzin,,53.62,109.62,"Gostevoy Dom S.barguzin ""Vizit"""
136,botwood,,49.15,-55.35,The Oasis Motel
137,shubarkuduk,,49.14,56.49,
138,rawson,,-43.3,-65.1,Hotel Punta León
139,castro,,-24.79,-50.01,Hotel Buganville Express
140,aklavik,,68.22,-135.01,Sundog Inn
141,macapa,,0.04,-51.07,Amapá Hotel - Antigo ibis Macapá
142,khartoum,,15.55,32.53,Paradise Hotel
143,salalah,,17.02,54.09,Salalah Gardens Hotel
144,saurimo,,-9.66,20.39,Resort Uhenha
145,ceres,,37.59,-120.96,Microtel Inn & Suites by Wyndham Modesto Ceres
146,jawhar,,2.78,45.5,Safa hotel jowhar somalia
147,bambous virieux,,-20.26,57.41,Pearle Beach Resort & Spa
148,mananara,,-16.17,49.77,androkaroka.les 3 arcs
149,sitka,,57.05,-135.33,Aspen Suites Hotel Sitka
150,buala,,-8.14,159.59,
151,severo-kurilsk,,50.68,156.12,Kak Doma
152,nelson bay,,-41.28,173.28,Trailways Hotel
153,nimaparha,,20.07,86.02,SPOT ON 68240 Greenland Guest House
154,fortuna,,40.6,-124.16,THE REDWOOD RIVERWALK HOTEL
155,marawi,,8.0,124.29,Marawi Resort Hotel
156,khatanga,,71.97,102.5,
157,kristiansund,,63.11,7.73,Thon Hotel Kristiansund
158,souillac,,-20.52,57.52,Auberge de Saint-Aubin
159,moroto,,2.53,34.67,Mt Moroto Hotel
160,gimli,,50.63,-96.99,Lakeview Gimli Resort
161,ponta do sol,,38.73,-28.27,Casa dos Lagos - AL
162,zhigansk,,66.77,123.37,Gostinichnyy Kompleks Aylgy
163,alice springs,,27.75,-98.07,Hampton Inn Alice
164,harindanga,,22.04,88.32,
165,gazli,,40.13,63.45,
166,soe,,-9.86,124.28,Dena Hotel
167,tezu,,27.92,96.17,Oshin Hotel
168,karera,,25.47,78.15,Hotel Sai Darbar and Restaurant
169,bilibino,,68.05,166.44,Profilaktoriy Baes
170,esperance,,-33.87,121.9,Comfort Inn Bay Of Isles
171,klyuchevskiy,,53.53,119.45,
172,mys shmidta,,62.06,48.62,
173,evensk,,61.95,159.23,
174,lata,,40.16,-8.33,Magnolias Cottage
175,santa flavia,,17.49,120.43,
176,cockburn town,,-32.08,141.0,Coburn Hotel
177,gull lake,,6.33,-10.5,
178,victoria,,22.29,114.16,"Dorsett Mongkok, Hong Kong"
179,haines junction,,59.23,-135.44,Halsingland Hotel
180,nanakuli,,21.39,-158.15,
181,puerto madryn,,36.59,-6.23,Duques de Medinaceli
182,luderitz,,-26.65,15.16,Kairos Cottage
183,ashington,,50.93,-0.39,The White Horse Hotel
184,brae,,60.4,-1.35,Busta House Hotel
185,rio gallegos,,38.3,21.78,Airotel Achaia Beach
186,sao sebastiao,,20.51,76.21,Hotel Sai Residency
187,kautokeino,,69.01,23.04,Thon Hotel Kautokeino
188,linqing,,36.85,115.71,Linqing Hotel
189,college,,64.86,-147.8,La Quinta Inn & Suites by Wyndham Fairbanks Airport
190,kiunga,,-6.12,141.29,Cassowary Hotel
191,grand river south east,,38.88,-109.5,
192,santa lucia,,17.49,120.43,
193,kommunisticheskiy,,61.68,64.48,
194,taksimo,,56.34,114.88,"Gostinitsa ""Viktoriya"""
195,andenes,,69.31,16.12,Grønnbuene Rorbu Hotel
196,saldanha,,-33.01,17.94,Whispering Whale Luxury Apartments
197,high prairie,,33.61,-95.75,
198,tricase,,39.93,18.36,Masseria Uccio
199,kruisfontein,,-34.0,24.73,
200,kropotkin,,45.44,40.58,"Гостиница ""НОЙ"""
201,kangaatsiaq,,68.31,-53.46,
202,nantucket,,41.28,-70.1,Jared Coffin House
203,slatina,,44.43,24.37,City Hotel Slatina
204,trebinje,,42.71,18.34,Hotel Nar
205,iquique,,-20.22,-70.14,Hotel Gavina Sens & Conference Center
206,barabinsk,,55.36,78.36,"Gostinitsa ""Noy"""
207,carnarvon,,-24.87,113.63,Hospitality Carnarvon
208,dunn,,44.95,-91.88,Hampton Inn & Suites Menomonie-UW Stout
209,necochea,,-38.55,-58.74,Hotel Real
210,lincoln,,40.8,-96.67,Baymont by Wyndham Lincoln
211,kisesa,,-3.08,34.15,
212,mitsamiouli,,-11.38,43.28,Al Camar Lodge
213,sola,,-13.88,167.55,
214,kadoma,,34.73,135.58,Hotel Monterey La Soeur Osaka
215,kumluca,,36.37,30.29,TurkuazKöy
216,nouadhibou,,20.93,-17.03,Hôtel Sahel
217,pandamatenga,,-18.53,25.63,Touch of Africa Safari Lodge
218,mehamn,,71.04,27.85,Mehamn Arctic Hotel AS
219,vuktyl,,63.86,57.31,Mini-Hotel Lokomotiv
220,puerto leguizamo,,36.59,-6.23,Duques de Medinaceli
221,ilulissat,,69.22,-51.1,Hotel Arctic
222,korla,,41.76,86.15,Kangcheng Jian Guo International Hotel
